year;imdb;budget;domgross;intgross;budget_2013;domgross_2013;intgross_2013;binary
2010;tt1323045;150000000;393050114;1004550114;160234776;419868647;1073092418;FAIL
2006;tt0454082;9000000;16235738;16235738;10402167;18765207;18765207;PASS
2011;tt1562568;1800000;841056;859182;1864243;871074;889847;PASS
2000;tt0138749;95000000;50802661;65700000;128526296;68731346;88886081;FAIL
1995;tt0114214;32000000;18552460;18552460;48920943;28362620;28362620;FAIL
1999;tt0126916;50000000;35188640;46112640;69923101;49209977;64486776;FAIL
1976;tt0075314;1000000;28262574;28262574;4091827;115645570;115645570;FAIL
2010;tt1020558;15000000;123570;6623570;16023478;132001;7075508;FAIL
2005;tt0384806;18500000;65233369;109175673;22071113;77825570;130250195;PASS
1998;tt0118715;15000000;17498804;46189568;21436985;25008106;66011004;FAIL
1998;tt0134619;15000000;17507368;17507368;21436985;25020345;25020345;FAIL
2012;tt1074638;200000000;304360277;1108694081;202927713;308815675;1124923772;FAIL
1998;tt0138704;68000;3221152;4678513;97181;4603452;6686214;FAIL
2013;tt1517260;50000000;26623701;58188384;50000000;26623701;58188384;FAIL
2009;tt1210042;17000000;27163593;39233233;18457437;29492371;42596761;FAIL
2001;tt0166924;15000000;7219578;11919578;19737689;9499853;15684329;PASS
2013;tt2302755;70000000;98927592;150562164;70000000;98927592;150562164;FAIL
2009;tt1178663;15000000;5306706;35106706;16285974;5761658;38116460;FAIL
2000;tt0209144;5000000;25544867;39723096;6764542;34559865;53741710;FAIL
2008;tt0494238;60000000;17303424;58051454;64935379;18726740;62826552;PASS
2000;tt0212346;45000000;106807667;213420951;60880877;144500988;288738993;PASS
2009;tt1091722;9800000;16044025;17144025;10640170;17419505;18613810;FAIL
2000;tt0134847;23000000;39235088;53182088;31116893;53081479;71950493;PASS
2009;tt0458525;150000000;179883157;374825760;162859739;195304827;406960171;FAIL
2011;tt0770703;20000000;14011084;30711084;20713816;14511151;31807187;PASS
2005;tt0362165;100000000;17018422;59918422;119303313;20303541;71484662;FAIL
2010;tt1273678;28000000;24307106;50983364;29910492;25965625;54462053;PASS
1997;tt0120152;35000000;2221994;2221994;50793334;3224642;3224642;PASS
2010;tt0985694;12500000;26593646;44331957;13352898;28408179;47356808;PASS
2011;tt1161864;37000000;33047633;96047633;38320559;34227129;99475649;FAIL
2006;tt0457510;32000000;80197993;99296462;36985483;92692547;114766488;FAIL
2006;tt0439815;15250000;7802450;12930343;17625894;9018043;14944843;PASS
2010;tt1591095;1500000;54009150;99870886;1602348;57694294;106685260;PASS
2011;tt1324999;127500000;281287133;709938657;132050575;291326492;735276926;PASS
2002;tt0168786;12500000;21078145;23367586;16189740;27299975;30265212;FAIL
1994;tt0111070;22000000;144833357;189800000;34576623;227629474;298301960;FAIL
1992;tt0104257;33000000;141340178;236500000;54791459;234673774;392672121;FAIL
2009;tt1230414;85000000;112735375;224614744;92287186;122400359;243871325;PASS
2012;tt1440129;209000000;65235400;304142720;212059460;66190353;308594933;FAIL
2003;tt0317303;60000000;104148781;164285587;75965217;131861413;207999839;PASS
2012;tt1667353;85000000;64935167;168611991;86244278;65885725;171080229;FAIL
1999;tt0185937;600000;140539099;248300000;839077;196538593;347238122;PASS
2013;tt2193215;25000000;16973715;70373715;25000000;16973715;70373715;PASS
2012;tt1673434;136200000;292324737;832660037;138193773;296603952;844848985;FAIL
2012;tt1637725;50000000;218665740;549444574;50731928;221866693;557487654;FAIL
1996;tt0116277;55000000;18582965;18582965;81684071;27598768;27598768;FAIL
1988;tt0096438;70000000;154112492;351500000;137875291;303547209;692330924;FAIL
2008;tt1227929;82500000;75986503;160388063;89286146;82236872;173580993;PASS
1993;tt0106226;34000000;32014993;32014993;54823603;51622860;51622860;PASS
1995;tt0114388;16500000;42993774;134993774;25224861;65727998;206375709;PASS
2002;tt0303816;1500000;21158188;30351664;1942769;27403645;39310844;PASS
2005;tt0388500;25000000;36351350;38351350;29825828;43368365;45754431;PASS
2008;tt0800308;20000000;20211394;27735474;21645126;21873909;30016892;FAIL
2011;tt1298650;250000000;241063875;1043663875;258922697;249667634;1080913060;FAIL
2011;tt0993842;30000000;40259119;65343694;31070724;41695999;67675862;PASS
2012;tt1142977;39000000;35287788;81150788;39570904;35804351;82338719;FAIL
2007;tt0389722;30000000;39568996;80276156;33706305;44457488;90193752;FAIL
2010;tt0840361;37000000;92186262;152566881;39524578;98476300;162976800;FAIL
2009;tt0892782;175000000;198351526;381687380;190003029;215356519;414410048;FAIL
2003;tt0309698;28000000;52131264;82183683;35450435;66002713;104051689;FAIL
2007;tt0413267;160000000;322719944;807330936;179766957;362589890;907071412;PASS
2006;tt0443453;18000000;128505958;261572744;20804334;148526717;302324822;FAIL
2009;tt0452694;39000000;63414846;98666635;42343532;68851502;107125483;FAIL
2009;tt1156398;23600000;75590286;102236596;25623266;82070762;111001503;PASS
2008;tt0926129;18000000;43869350;57109687;19480614;47477881;61807319;PASS
2001;tt0271027;25000000;36833473;36833473;32896149;48467177;48467177;FAIL
1998;tt0120812;35000000;141186864;245300000;50019631;201774709;350566156;PASS
1988;tt0095690;6000000;12793213;12793213;11817882;25198114;25198114;PASS
2008;tt0465502;30000000;19528602;31013349;32467689;21134953;33564393;FAIL
2004;tt0362227;75000000;77073959;218673959;92489466;95047057;269667169;FAIL
1998;tt0120794;60000000;101413188;218600000;85747939;144932864;312408324;FAIL
2009;tt0844471;100000000;124870275;236827677;108573160;135575603;257131292;FAIL
1997;tt0118866;2000000;537948;539961;2902476;780691;783612;PASS
2009;tt1131729;50000000;8017467;37472651;54286580;8704817;40685241;FAIL
2012;tt1047540;25000000;77267296;120168633;25365964;78398378;121927729;PASS
2008;tt1060277;25000000;80048433;170764033;27056408;86632922;184810452;PASS
2008;tt0942903;7000000;;;7575794;;;FAIL
2013;tt1711425;13000000;25682380;42195766;13000000;25682380;42195766;FAIL
2010;tt1126591;55000000;39440655;89657398;58752751;42131764;95774887;PASS
1997;tt0119190;55000000;105263257;174463257;79818097;152762052;253187730;PASS
1999;tt0181316;36000000;68208190;117448157;50344633;95386564;164246788;FAIL
2006;tt0416449;60000000;210614939;454161935;69347781;243427977;524918705;FAIL
2003;tt0283426;20000000;47901582;135703599;25321739;60647568;171812557;FAIL
1974;tt0071230;2600000;119500000;119500000;12281688;564485269;564485269;FAIL
2012;tt1343727;45000000;13414714;40868994;45658735;13611086;41467257;PASS
2008;tt0468569;185000000;533345358;1002891358;200217418;577216380;1085385502;FAIL
2011;tt1640484;7000000;37295394;38158601;7249836;38626496;39520511;PASS
2004;tt0338348;170000000;194949659;319049659;209642789;240410531;393449767;FAIL
2011;tt1535616;3000000;18000;18000;3107072;18642;18642;PASS
2002;tt0281373;32000000;81150692;116898028;41445735;105104690;151403896;FAIL
2003;tt0332379;20000000;81261177;131161177;25321739;102883716;166061455;FAIL
2008;tt0441773;130000000;215434591;631910531;140693320;233155446;683889160;FAIL
2003;tt0339840;750000;41196;229250;949565;52158;290250;PASS
2000;tt0218839;6000000;18621249;20695413;8117450;25192844;27998998;PASS
1994;tt0110889;60000000;29136626;84154026;94299882;45793007;132261912;PASS
1990;tt0099088;40000000;87666629;243700000;71319016;156307443;434511105;FAIL
2000;tt0163978;50000000;39778599;39778599;67645419;53816800;53816800;FAIL
2011;tt1637706;5000000;24814830;25861249;5178454;25700491;26784257;PASS
1994;tt0110475;18000000;119920129;351620129;28289965;188474233;552628944;FAIL
1980;tt0080492;20000000;2000000;2000000;56555357;5655536;5655536;PASS
2007;tt0758766;40000000;50572589;145021477;44941739;56820503;162937935;FAIL
1985;tt0089908;27000000;10618813;10618813;58456506;22990322;22990322;PASS
1995;tt0112401;50000000;30306268;83306268;76438973;46331600;127356911;FAIL
2009;tt0808526;4500000;281447;281447;4885792;305576;305576;PASS
1992;tt0105793;20000000;121697323;183097323;33206945;202059814;304005134;FAIL
2007;tt0780607;50000;251150;406299;56177;282178;456495;FAIL
2010;tt1334260;15000000;2434652;11509512;16023478;2600773;12294827;PASS
1996;tt0117998;88000000;241888385;495900000;130694514;359244145;736493287;PASS
2009;tt1190080;200000000;166112167;788408539;217146319;180353228;856000062;FAIL
2008;tt0430770;16000000;26902075;50103808;17316101;29114940;54225162;PASS
2007;tt0450385;22500000;71985628;131263370;25279728;80878983;147480104;PASS
1997;tt0120177;40000000;54979992;87949859;58049525;79789061;127636188;PASS
2005;tt0418773;1000000;2678010;3557954;1193033;3194955;4244757;PASS
2009;tt0365929;35000000;10275638;12254746;38000606;11156585;13305365;PASS
1998;tt0146336;14000000;38116707;72571864;20007852;54473818;103714796;PASS
2012;tt1621045;12000000;91547205;96155124;12175663;92887325;97562697;PASS
1984;tt0088247;6400000;38019031;78019031;14345242;85217529;174875289;FAIL
1998;tt0120148;6000000;11911200;58809149;8574794;17022681;84046055;PASS
2005;tt0358273;29000000;119519402;187707495;34597961;142590606;223941260;PASS
2005;tt0405325;60000000;63939454;81627454;71581988;76281887;97384257;PASS
2005;tt0351283;75000000;193595521;556559566;89477485;230965870;663994001;FAIL
2006;tt0479647;8000000;12671300;12671300;9246371;14645442;14645442;FAIL
2004;tt0318627;50000000;50740078;128940078;61659644;62572303;159007986;PASS
2007;tt0884328;13000000;25593755;54777490;14606065;28755697;61544892;PASS
2006;tt0401711;13000000;4857374;4857374;15025353;5614135;5614135;FAIL
2012;tt0790724;60000000;80070736;217370736;60878314;81242857;220552732;FAIL
1976;tt0074156;30000000;20040895;36040895;122754817;82003880;147473116;FAIL
1974;tt0071222;9000000;16235738;16235738;42513535;76693179;76693179;PASS
2006;tt0498380;13000000;13756082;68756082;15025353;15899229;79468028;FAIL
2005;tt0433383;7000000;31501218;56586901;8351232;37581997;67510048;FAIL
2012;tt1524137;25000000;66528000;98406855;25365964;67501874;99847390;PASS
2010;tt1322312;32000000;17804299;39990165;34183419;19019119;42718768;PASS
1978;tt0078346;55000000;134218018;300200000;196388829;479253080;1071925937;FAIL
1998;tt0120815;65000000;216335085;485035085;92893600;309171460;693179313;FAIL
2004;tt0373074;20000000;17104669;101004669;24663858;21093356;124558238;FAIL
2010;tt0964517;11000000;93617009;129262388;11750550;100004670;138082199;FAIL
1999;tt0190641;30000000;85744662;163644662;41953861;119910654;228850846;FAIL
2010;tt1405500;21000000;37729698;38017873;22432869;40304065;40611902;PASS
1999;tt0151804;10000000;10827813;12827813;13984620;15142285;17939209;FAIL
2006;tt0458352;35000000;124740460;326551094;40452872;144174568;377426561;PASS
2011;tt1509767;90000000;20377913;139877913;93212171;21105217;144870266;FAIL
2008;tt1068680;50000000;97690976;225990976;54112816;105726675;244580160;FAIL
2009;tt0485601;8000000;690290;2600916;8685853;749470;2823897;FAIL
2004;tt0362269;11000000;10214647;13000959;13565122;12596630;16032690;PASS
2012;tt2101441;5000000;14124286;30669531;5073193;14331045;31118489;PASS
2012;tt1560747;37500000;16247159;25116740;38048946;16484994;25484413;FAIL
2009;tt1149361;42000000;1259693;11756922;45600727;1367688;12764862;FAIL
2009;tt0913354;20000000;15988876;23661038;21714632;17359628;25689537;FAIL
2013;tt1985966;78000000;119640264;271725448;78000000;119640264;271725448;FAIL
2011;tt1650062;50000000;127004179;260095987;51784539;131537058;269379017;PASS
1992;tt0103644;55000000;54927174;158500000;91319098;91198182;263165037;FAIL
2011;tt1606618;5500000;5580479;15155021;5696299;5779651;15695916;PASS
2000;tt0209958;35000000;61280963;85911226;47351793;82907528;116230018;FAIL
2011;tt1422136;4000000;;442550;4142763;;458345;PASS
2013;tt2194499;12000000;15323921;87324746;12000000;15323921;87324746;PASS
2008;tt0493464;75000000;134508551;342416460;81169223;145572728;370582375;FAIL
1986;tt0090848;15000000;1953732;1953732;31856471;4149267;4149267;PASS
2012;tt0443272;65000000;182207973;273000960;65951507;184875236;276997302;PASS
2007;tt0805564;12500000;5956480;10553442;14044294;6692364;11857251;PASS
2008;tt0910936;26000000;87341380;101549277;28138664;94525760;109902346;FAIL
2002;tt0258463;60000000;121468960;213300000;77710753;157324072;276261727;FAIL
2008;tt0421715;160000000;127509326;329809326;173161010;137997773;356938225;FAIL
1999;tt0149691;23000000;18653615;18653615;32164627;26086372;26086372;FAIL
2010;tt1325004;68000000;300531751;699590681;72639765;321037586;747325041;PASS
2009;tt1139668;16000000;42670410;78208812;17371706;46328612;84913778;PASS
1986;tt0091419;30000000;38747385;38747385;63712942;82290329;82290329;FAIL
2001;tt0247745;3000000;18492362;23046142;3947538;24333100;30325173;FAIL
2007;tt0775529;9000000;6623082;10642023;10111891;7441321;11956776;PASS
2010;tt0429493;110000000;77222099;177241171;117505503;82491105;189334662;FAIL
2002;tt0259446;5000000;241438208;352242522;6475896;312705749;456217193;PASS
2009;tt1352824;13000000;3075255;9675172;14114511;3338902;10504640;FAIL
2001;tt0126029;50000000;267655011;491812794;65792298;352192764;647149877;FAIL
2011;tt1305591;150000000;21392758;39549758;155353618;22156282;40961320;FAIL
2009;tt0448182;200000;;;217146;;;PASS
2008;tt0497465;16000000;23216709;104504817;17316101;25126430;113100998;PASS
1999;tt0171363;80000000;91188905;180188905;111876962;127524221;251987342;PASS
2001;tt0242587;700000;1140965;1140965;921092;1501334;1501334;FAIL
2008;tt0499448;225000000;141621490;419490286;243507670;153270751;453996009;PASS
2002;tt0286106;70702619;227965690;408265690;91572563;295256424;528777236;FAIL
2005;tt0382628;60000000;25473093;49473093;71581988;30390244;59023039;PASS
2004;tt0381681;2000000;5792822;11293790;2466386;7143667;13927421;FAIL
2011;tt1411704;63000000;108085305;184924333;65248520;111942955;191524428;FAIL
2003;tt0286244;2000000;7301288;14440113;2532174;9244066;18282439;PASS
2002;tt0252444;7000000;6199600;16866928;9066255;8029593;21845695;PASS
2009;tt1017460;30000000;17010170;22461001;32571948;18468479;24386618;PASS
2006;tt0417148;33000000;34020814;62020814;38141279;39321133;71683430;PASS
2011;tt0983193;130000000;77591831;373993951;134639802;80361144;387342089;FAIL
2010;tt0963966;160000000;63150991;215150991;170917095;67459899;229831139;FAIL
1986;tt0091225;30000000;16295774;16295774;63712942;34608390;34608390;FAIL
2004;tt0383694;11000000;3753806;13353855;13565122;4629167;16467879;PASS
2010;tt0989757;25000000;80014842;111362410;26705796;85474402;118960872;FAIL
2000;tt0204946;10000000;68353550;90453550;13529084;92476091;122375366;PASS
2009;tt1144884;40000000;66477700;187384627;43429264;72176939;203449410;PASS
2013;tt1854564;90000000;68559554;200859554;90000000;68559554;200859554;PASS
2013;tt1980209;26000000;49875291;81275291;26000000;49875291;81275291;FAIL
2004;tt0338526;170000000;120150546;300150546;209642789;148168797;370143515;PASS
2009;tt1142988;38000000;88915214;205230042;41257801;96538057;222824741;FAIL
1995;tt0112642;55000000;100328194;282300000;84082870;153379682;431574441;PASS
1998;tt0120382;60000000;125618201;248400000;85747939;179525030;354996466;FAIL
2006;tt0376994;210000000;234362462;459359555;242717233;270875277;530926095;PASS
2013;tt0848537;100000000;107518682;268418682;100000000;107518682;268418682;PASS
1997;tt0118883;80000000;76118990;142783718;116099050;110466780;207213175;FAIL
2006;tt0457939;85000000;63280000;205190324;98242689;73138793;237158227;PASS
2012;tt1931533;13500000;15024049;23492318;13697621;15243980;23836212;FAIL
2004;tt0372588;20000000;32774834;50274834;24663858;40417692;61998567;FAIL
2005;tt0404032;18000000;75072454;144587700;21474596;89563925;172497916;PASS
2005;tt0408790;55000000;89706988;225706988;65616822;107023409;269275914;PASS
2001;tt0280707;18000000;41300105;41300105;23685227;54344576;54344576;PASS
2013;tt1327773;30000000;116632095;151513429;30000000;116632095;151513429;PASS
1972;tt0068646;7000000;134966411;268500000;39004975;752051643;1496119403;FAIL
2011;tt1605783;30000000;56816662;154816662;31070724;58844493;160342190;PASS
1994;tt0110622;30000000;51041856;51041856;47149941;80220683;80220683;FAIL
2004;tt0405159;30000000;100492203;232016402;36995786;123926269;286120974;PASS
1989;tt0096874;40000000;118450002;332000000;75183554;222637302;624023495;PASS
1999;tt0120915;115000000;474544677;1007044677;160823133;663632711;1408313741;PASS
2010;tt1274300;20000000;277943;277943;21364637;296908;296908;PASS
2008;tt1129423;500000;33456317;33473297;541128;36208310;36226687;FAIL
2008;tt0866439;40000000;46012734;106548738;43290252;49797572;115313044;FAIL
2010;tt1320253;82000000;103068524;268268174;87595011;110101079;286572606;FAIL
2009;tt1035736;23000000;6113834;50813834;24971827;6637983;55170185;PASS
1984;tt0087363;11000000;148168459;148168459;24655884;332111304;332111304;FAIL
2004;tt0339291;100000000;118627117;201627117;123319288;146290116;248645124;PASS
1992;tt0104940;12000000;27281507;27281507;19924167;45296775;45296775;FAIL
2007;tt0765443;50000000;17181265;55367342;56177174;19303898;62207616;PASS
2010;tt1376195;9900000;458054;458054;10575495;489308;489308;FAIL
2011;tt1217613;70000000;83552429;212005201;72498355;86534481;219571833;FAIL
2011;tt1430607;85000000;46462469;147624649;88033717;48120751;152893489;FAIL
1988;tt0096487;13000000;44726644;44726644;25605411;88095701;88095701;FAIL
2011;tt1478964;13000000;1024175;5406422;13463980;1060729;5599381;PASS
2010;tt1313092;4200000;1044039;8078683;4486574;1115276;8629906;FAIL
2009;tt0438488;200000000;125322469;371628539;217146319;136066564;403488847;FAIL
2010;tt1139328;45000000;15541549;65532491;48070433;16601978;70003894;FAIL
2009;tt0780521;105000000;104400899;270997378;114001818;113351355;294230416;PASS
2009;tt1278340;800000;46742;2194020;868585;50749;2382117;FAIL
2009;tt1289406;7300000;1818681;6294140;7925841;1974599;6833747;FAIL
1991;tt0102943;23000;1227508;1227508;39349;2100070;2100070;PASS
1996;tt0117057;42000000;41267469;41267469;62376927;61288998;61288998;PASS
2003;tt0320691;22000000;51970690;95708457;27853913;65799413;121175229;FAIL
1999;tt0125439;42000000;116089678;363728226;58735405;162347007;508660113;PASS
1977;tt0076759;11000000;460998007;797900000;42274609;1771682790;3066446442;FAIL
2005;tt0402022;55000000;25857987;47953341;65616822;30849435;57209924;PASS
2012;tt1345836;275000000;448139099;1079343943;279025606;454699213;1095143990;FAIL
2005;tt0450278;4800000;47326473;82241110;5726559;56462050;98116369;FAIL
2012;tt1716777;16000000;12431792;12431792;16234217;12613776;12613776;PASS
2004;tt0360201;35000000;16862585;41666476;43161751;20794820;51382801;PASS
1989;tt0097815;11000000;49793054;49793054;20675477;93590469;93590469;FAIL
1991;tt0103060;25000000;78656813;78656813;42771009;134569251;134569251;PASS
2003;tt0306047;45000000;110000082;155200000;56973913;139269669;196496696;PASS
2008;tt1152850;300000;865695;1416046;324677;936904;1532525;PASS
1980;tt0081398;18000000;23380203;23380203;50899822;66113787;66113787;FAIL
2011;tt1007029;14000000;29959436;115592104;14499671;31028712;119717677;PASS
2008;tt0489018;18000000;;;19480614;;;PASS
2004;tt0364725;30000000;114326736;167791704;36995786;140986916;206919534;PASS
1971;tt0067116;2200000;41158757;41158757;12659931;236848653;236848653;FAIL
2001;tt0267804;49000000;43905746;43905746;64476452;57773198;57773198;FAIL
2003;tt0167260;94000000;377845905;1141408667;119012174;478385772;1445122625;FAIL
2011;tt1133985;200000000;116601172;231201172;207138157;120762760;239452924;FAIL
2007;tt0472062;75000000;66661095;119512771;84265761;74896639;134277795;PASS
2001;tt0251075;80000000;38311134;98341932;105267677;50411551;129402834;PASS
2010;tt1013860;20000000;1186538;6090697;21364637;1267498;6506276;FAIL
2003;tt0335266;4000000;44585453;112550685;5064348;56449060;142498954;FAIL
2000;tt0208092;10000000;30093107;83593107;13529084;40713217;113093815;FAIL
2010;tt1194417;12500000;2039869;2080869;13352898;2179053;2222851;FAIL
1996;tt0116209;35000000;78716374;231716374;51980772;116906798;344137032;PASS
2013;tt1204975;28000000;63914167;112914167;28000000;63914167;112914167;FAIL
2010;tt1053424;32000000;13942007;18195238;34183419;14893296;19436733;PASS
2004;tt0363282;40000000;14018364;21215882;49327715;17287347;26163275;FAIL
2006;tt0430634;20000000;26910736;30399714;23115927;31103330;35135878;PASS
1997;tt0118842;250000;12006514;15155095;362810;17424311;21993652;PASS
2009;tt0796366;140000000;257730019;385680446;152002424;279825625;418745446;PASS
2011;tt1403177;7000000;382946;382946;7249836;396614;396614;FAIL
2001;tt0244970;23000000;27338033;38684906;30264457;35972640;50903377;PASS
2011;tt1284575;19000000;100292856;216412265;19678125;103872387;224136189;PASS
2004;tt0332375;5000000;8886160;10228228;6165964;10958349;12613378;PASS
2008;tt0978759;1000000;2511476;6030129;1082256;2718061;6526145;PASS
2006;tt0451176;400000;1692693;2522787;462319;1956408;2915828;PASS
1987;tt0092991;3500000;5923044;5923044;7176391;12144594;12144594;FAIL
2004;tt0390221;3200000;6529624;14441158;3946217;8052286;17808733;PASS
2006;tt0446755;19400000;8060487;15118795;22422449;9316281;17474248;FAIL
2000;tt0173716;10000000;1276984;1953882;13529084;1727642;2643423;PASS
1994;tt0109707;18000000;5828466;5828466;28289965;9160394;9160394;PASS
1999;tt0171804;2000000;11540607;20741000;2796924;16139101;29005501;PASS
2002;tt0295701;70000000;141930000;267200000;90662545;183824786;346071886;FAIL
2007;tt0795368;21000000;42739347;48977233;23594413;48019515;55028051;PASS
2011;tt1265990;16000000;37300107;40497461;16571053;38631377;41942847;PASS
2005;tt0377109;50000000;75941727;161941727;59651656;90600996;193201845;PASS
2006;tt0414982;25000000;54098051;112798051;28894909;62526330;130371575;PASS
2003;tt0300471;50000000;60470220;88316835;63304348;76560557;111816793;FAIL
2010;tt1027718;70000000;52474616;137431619;74776229;56055056;146808831;FAIL
2011;tt1714210;190000;484592;1577585;196781;501887;1633890;FAIL
1994;tt0110322;30000000;66502573;160502573;47149941;104519746;252256228;PASS
2010;tt1421051;7000000;1785645;14385645;7477623;1907483;15367204;FAIL
1998;tt0120791;60000000;46850558;68336997;85747939;66955646;97662611;PASS
2003;tt0301357;6400000;4063859;79384539;8102957;5145199;100507729;PASS
2000;tt0144084;8000000;15070285;28674417;10823267;20388715;38793859;FAIL
1995;tt0112864;90000000;100012499;364480746;137590151;152897054;557210677;FAIL
2007;tt0498353;7500000;17544812;33606409;8426576;19712359;37758262;PASS
2013;tt1430132;115000000;132556852;416456852;115000000;132556852;416456852;PASS
1988;tt0092675;1500000;11806119;11806119;2954471;23253887;23253887;FAIL
1980;tt0080455;27000000;57229890;57229890;76349732;161832844;161832844;FAIL
2013;tt0790628;32000000;22537881;24255957;32000000;22537881;24255957;FAIL
1998;tt0120184;73000000;37068294;50168294;104326659;52975497;71697130;FAIL
2006;tt0420223;30000000;40435190;45235190;34673890;46734845;52282667;PASS
2006;tt0457572;8000000;298110;419801;9246371;344554;485204;FAIL
2003;tt0366920;28000000;38372662;120918508;35450435;48583127;153093346;PASS
2010;tt1120985;1000000;9737892;16566240;1068232;10402326;17696585;FAIL
2010;tt0435761;200000000;415004880;1063759456;213646368;443321427;1136341723;FAIL
1985;tt0089457;20000000;18400000;18400000;43301115;39837026;39837026;FAIL
2013;tt1321870;60000000;46000903;104100903;60000000;46000903;104100903;FAIL
1995;tt0114369;30000000;100125643;328125643;45863384;153070026;501631742;FAIL
2010;tt1314655;10000000;33679655;63354114;10682318;35977680;67676882;PASS
1999;tt0134119;40000000;81292135;128792135;55938481;113683964;180110910;FAIL
1999;tt0158811;24000000;16304786;16304786;33563089;22801624;22801624;PASS
2011;tt1291584;25000000;13657115;24215385;25892270;14144548;25079651;FAIL
2011;tt0472181;110000000;142614158;563066551;113925987;147704169;583162839;PASS
2013;tt1702439;28000000;71399120;93943623;28000000;71399120;93943623;PASS
1996;tt0117887;2500000;25857416;34557416;3712912;38402527;51323462;PASS
2006;tt0436697;15000000;56441711;128885873;17336945;65235123;148965821;FAIL
2008;tt0832266;7000000;32241649;55863786;7575794;34893728;60458935;PASS
1996;tt0117765;50000000;33109743;113309743;74258246;49173429;168283656;FAIL
2011;tt0978764;75000000;36392502;89758389;77676809;37691379;92961937;PASS
1992;tt0103893;7000000;14231669;14231669;11622431;23629512;23629512;PASS
1997;tt0118655;18000000;53883989;67683989;26122286;78198499;98225585;FAIL
2001;tt0212985;87000000;165092266;350100280;114478598;217235991;460678038;PASS
1984;tt0087182;45000000;27447471;27447471;100864980;61521969;61521969;FAIL
2005;tt0424774;50000000;39177684;69425966;59651656;46740275;82827477;FAIL
2005;tt0418763;72000000;62647540;96947540;85898385;74740591;115661627;FAIL
2012;tt0454876;120000000;124987022;607987022;121756628;126816653;616887080;FAIL
2009;tt1193138;30000000;83823381;166842739;32571948;91009693;181146433;FAIL
2005;tt0342272;8000000;23106;446438;9544265;27566;532615;FAIL
2003;tt0340855;5000000;34469210;58003694;6330435;43641017;73437720;PASS
2009;tt0409459;138000000;107509799;184068357;149830960;116726786;199848831;FAIL
1972;tt0069089;12000;413802;413802;66866;2305762;2305762;PASS
2011;tt1701990;10000000;;;10356908;;;PASS
1990;tt0100405;14000000;178406268;432645872;24961656;318093987;771396947;PASS
2012;tt1496025;70000000;62321039;160379930;71024700;63233330;162727662;PASS
2007;tt0442933;150000000;82195215;194995215;168531522;92349898;219085603;PASS
2010;tt0477080;95000000;81562942;169511609;101482025;87128132;181077698;FAIL
2003;tt0300556;80000000;19480739;26703184;101286957;24664310;33808553;FAIL
1976;tt0075148;1000000;117235147;225000000;4091827;479705967;920661128;FAIL
1988;tt0094721;15000000;73326666;73326666;29544705;144427648;144427648;PASS
1997;tt0119874;50000000;41263140;62967368;72561906;59882642;91380645;FAIL
2001;tt0236348;22000000;14252830;14252830;28948611;18754529;18754529;PASS
2010;tt0892791;165000000;238736787;756244673;176258254;255026238;807844640;FAIL
2004;tt0377062;75000000;21009180;34009180;92489466;25908371;41939879;FAIL
2007;tt0381849;48000000;53606916;71171825;53930087;60229701;79964640;FAIL
2012;tt0485985;58000000;49876377;50365498;58849037;50606496;51102777;FAIL
2010;tt1532503;3200000;5790894;11564267;3418342;6186017;12353318;FAIL
2001;tt0146316;94000000;131144183;274644183;123689520;172565543;361389438;FAIL
2013;tt0993846;100000000;115702857;365702857;100000000;115702857;365702857;FAIL
1999;tt0120855;145000000;171091819;448191819;202776994;239265412;626779240;FAIL
2006;tt0417225;15000000;12669914;12669914;17336945;14643840;14643840;PASS
1997;tt0120082;24000000;101363301;101363301;34829715;147102287;147102287;PASS
1997;tt0118570;3000000;24646936;27788649;4353714;35768573;40327947;FAIL
2012;tt1234719;65000000;44806783;48164150;65951507;45462690;48869204;FAIL
2007;tt1038988;2100000;;27117954;2359441;;30468201;PASS
2008;tt0371746;186000000;318604126;582443126;201299674;344811326;630352749;FAIL
2002;tt0297181;70000000;33561137;60279822;90662545;43467687;78073173;FAIL
2001;tt0211443;14000000;13121555;16951798;18421843;17265945;22305955;PASS
2013;tt1392214;46000000;61002302;113402302;46000000;61002302;113402302;PASS
1972;tt0068156;4000000;;;22288557;;;FAIL
2013;tt1815862;130000000;60522097;244373198;130000000;60522097;244373198;FAIL
2001;tt0253126;10000000;226792;226792;13158460;298423;298423;PASS
2006;tt0424345;5000000;24148068;25894473;5778982;27910249;29928737;FAIL
2004;tt0390384;7000;424760;565846;8632;523811;697797;FAIL
2010;tt0968264;25000000;11538204;15907411;26705796;12325477;16992803;FAIL
1998;tt0120831;5000000;5502773;5502773;7145662;7864191;7864191;PASS
2002;tt0283003;4500000;410241;1022649;5828306;531336;1324514;PASS
2008;tt0871426;30000000;60494212;64391484;32467689;65470243;69688090;PASS
2011;tt0970179;180000000;73864507;185033215;186424342;76500789;191637196;FAIL
1980;tt0081505;19000000;44017374;44017374;53727589;124470916;124470916;FAIL
2000;tt0191754;43000000;37035515;62063972;58175060;50105659;83966868;PASS
2013;tt2425486;30000000;4167493;4967493;30000000;4167493;4967493;PASS
2009;tt0417741;250000000;301959197;934416487;271432899;327846641;1014525504;PASS
2001;tt0256380;40000000;70836296;70836296;52633838;93209654;93209654;PASS
